date,series_id,series_name,category,area_type,value,units,source
2024-03-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,312.332,index,BLS
2024-04-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,313.548,index,BLS
2024-05-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,314.069,index,BLS
2024-06-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,314.175,index,BLS
2024-07-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,314.54,index,BLS
2024-08-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,314.796,index,BLS
2024-09-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,315.301,index,BLS
2024-10-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,315.664,index,BLS
2024-11-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,315.493,index,BLS
2024-12-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,315.605,index,BLS
2025-01-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,317.671,index,BLS
2025-02-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,319.082,index,BLS
2025-03-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,319.799,index,BLS
2025-04-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,320.795,index,BLS
2025-05-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,321.465,index,BLS
2025-06-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,322.561,index,BLS
2025-07-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,323.048,index,BLS
2025-08-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,323.976,index,BLS
2025-09-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,324.8,index,BLS
2025-11-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,324.122,index,BLS
2025-12-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,324.054,index,BLS
2023-01-01,CUUR0000SA0E,CPI Energy (CPI-U U.S. city avg NSA),inflation_context,urban,283.33,index,BLS
2023-02-01,CUUR0000SA0E,CPI Energy (CPI-U U.S. city avg NSA),inflation_context,urban,281.673,index,BLS
2023-03-01,CUUR0000SA0E,CPI Energy (CPI-U U.S. city avg NSA),inflation_context,urban,279.084,index,BLS
2023-04-01,CUUR0000SA0E,CPI Energy (CPI-U U.S. city avg NSA),inflation_context,urban,283.352,index,BLS
2023-05-01,CUUR0000SA0E,CPI Energy (CPI-U U.S. city avg NSA),inflation_context,urban,279.816,index,BLS
